review,sentiment
i am happy,positive
project is very good.,positive
Good expo😀,positive
bad expo,negative
very nice,positive
	good 😀,positive
"bad
",negative
nice,positive
scope,positive
avcoe is good😀,positive
movie is very bad,negative
good,positive
bad,negative
average,negative
good job,positive
college is bad,negative
"college is bad
",negative
"college is bad
",negative
😁😁,positive
the avcoe expo is very knowlwgable,positive
The expo is very good,positive
The expo products are attractive.,positive
The expo arragnement is managable,positive
there is slightly variation in expo products,positive
Amrutvahini made the expo very attractive,positive
the expo is very good,positive
The Amrutvahini arrage the expo,positive
the expo is awful,negative
the expo is not very bad,negative
the expo is bad in some things,negative
"Amrutvahini arragement is bad for expo
",negative
We collect various types of knowledge i amrutvahini expo,positive
bhushan gives good responce about amrutvahini expo,positive
the expo is not correct,positive
Avcoe college is very good,positive
Avcoe has great arrangment about Amrutvahini expo,positive
The Amrutvahini expo had some faulty projects,negative
the Avcoe is not very good ,positive
the Avcoe is not very bad,negative
The Avcoe has great understandable project groups,positive
Avcoe Very good college,positive
very much better avcoe🌚,negative
avcoe 🥃 brand,positive
avcoe is better than wine shop,positive
one of the best,positive
"avcoe teachers are beautiful
",positive
Amrutvahini is best college,positive
"Amrutvahini is a college where students get placed with excellent package 
EX: 2024 Batch",positive
Amrutvahini amrutvahiniamrutvahini amrutvahini amrutvahini,positive
Amrutvahini college takes admission by saying there will be 100% placements but actually it is very bad at placements. ,negative
the projects from it dept of Amrutvahini college are very good,positive
the projects from it dept of Amrutvahini college are very good,positive
good,positive
Your project is very good,positive
nice,positive
nice,positive
good,positive
average,negative
average 😐,negative
good movie,positive
movie is good🙂,positive
movie is bad ,negative
"i m not ready
",positive
good,positive
